Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-6,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-14,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-19,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25
28001.0,27915.0,27948.0,28235.0,28177.0,27878.0,28208.0,28355.0,28200.0,27690.0,27993.0,27944.0,28553.0,28064.0,27891.0,27828.0,27492.0,28263.0,28252.0,28336.0,28551.0,28594.0,28382.0,27884.0,27505.0
28012.0,28672.0,27966.0,28241.0,28188.0,27893.0,28214.0,28362.0,28204.0,27700.0,28000.0,27948.0,28556.0,28031.0,27909.0,27831.0,27488.0,28255.0,28257.0,28351.0,28540.0,28601.0,28397.0,27856.0,27505.0
27990.0,27930.0,30591.0,28236.0,28201.0,27902.0,28222.0,28389.0,28226.0,27706.0,27991.0,27947.0,28565.0,28067.0,27898.0,27814.0,27511.0,28249.0,28252.0,28325.0,28552.0,28595.0,28379.0,27874.0,27526.0
28010.0,27923.0,27960.0,28225.0,28185.0,27860.0,28229.0,28390.0,28219.0,27720.0,27991.0,27944.0,28563.0,28060.0,27988.0,27831.0,27514.0,28267.0,28255.0,28344.0,28556.0,28626.0,28409.0,27868.0,27526.0
27984.0,27928.0,27950.0,29809.0,28182.0,27969.0,28211.0,28381.0,28204.0,27707.0,27992.0,27948.0,28567.0,28063.0,28066.0,30686.0,27541.0,28253.0,28256.0,28331.0,28550.0,28617.0,28419.0,27862.0,27521.0
27977.0,27919.0,27961.0,28238.0,30163.0,27916.0,28211.0,28367.0,28213.0,27693.0,28006.0,27954.0,28577.0,28050.0,27923.0,27832.0,27493.0,28251.0,28259.0,28343.0,28566.0,28619.0,28407.0,27864.0,27522.0
27981.0,27918.0,27966.0,28243.0,28185.0,27914.0,28200.0,28363.0,28215.0,27700.0,27989.0,27943.0,28565.0,28053.0,27906.0,27842.0,27502.0,28256.0,28262.0,28333.0,28556.0,28608.0,28390.0,27879.0,27508.0
27982.0,27924.0,27966.0,28233.0,28189.0,27921.0,28215.0,28416.0,28211.0,27699.0,27996.0,27957.0,28568.0,28072.0,27933.0,27851.0,27515.0,28306.0,28260.0,28334.0,28572.0,28612.0,28409.0,27861.0,27525.0
27978.0,27926.0,27965.0,28245.0,28198.0,27915.0,28212.0,28407.0,28230.0,27703.0,27994.0,27960.0,28586.0,28097.0,27908.0,27850.0,27518.0,28271.0,29337.0,28362.0,28565.0,31502.0,28429.0,27875.0,27517.0
27993.0,27930.0,28012.0,28244.0,28245.0,27908.0,28217.0,28466.0,28259.0,27691.0,28001.0,27964.0,28589.0,28113.0,27910.0,27844.0,27510.0,28276.0,28266.0,28356.0,28586.0,28633.0,28426.0,27883.0,27506.0
28073.0,27944.0,28163.0,28255.0,29952.0,27904.0,28227.0,28445.0,28244.0,27699.0,27994.0,27959.0,28586.0,28083.0,27917.0,27869.0,27538.0,28262.0,28274.0,28365.0,28585.0,28641.0,28421.0,27880.0,27522.0
28019.0,27946.0,27974.0,28272.0,28218.0,27966.0,28210.0,28432.0,28240.0,27703.0,28007.0,27948.0,28575.0,28077.0,27920.0,27844.0,27513.0,28402.0,28268.0,28353.0,28584.0,28621.0,28413.0,27864.0,27516.0
