Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-6,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-14,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-19,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25
28005.0,27945.0,28004.0,28280.0,28217.0,28044.0,28264.0,28602.0,28264.0,27706.0,27987.0,27828.0,28026.0,27820.0,27978.0,27879.0,27565.0,28283.0,28304.0,28315.0,28602.0,28723.0,28435.0,27865.0,27524.0
27992.0,27944.0,28011.0,28299.0,28224.0,28079.0,28249.0,28601.0,28271.0,27705.0,27991.0,27843.0,28026.0,27823.0,27985.0,27893.0,27568.0,28270.0,28311.0,28319.0,28595.0,28726.0,28448.0,27870.0,27530.0
27993.0,27937.0,28018.0,28293.0,28225.0,28047.0,28242.0,28605.0,28260.0,27692.0,27993.0,27828.0,28039.0,27827.0,27958.0,27890.0,27572.0,28258.0,28309.0,28334.0,28618.0,28712.0,28427.0,27878.0,27530.0
27988.0,27948.0,28004.0,28284.0,28210.0,28038.0,28255.0,28544.0,28252.0,27714.0,27986.0,27822.0,28012.0,27818.0,27974.0,27878.0,27559.0,28277.0,28300.0,28307.0,28591.0,28703.0,28421.0,27868.0,27526.0
27799.0,27843.0,27842.0,28100.0,27976.0,27646.0,27919.0,28220.0,28117.0,27703.0,27981.0,27738.0,27888.0,27761.0,27902.0,27828.0,27559.0,28224.0,28292.0,28206.0,28591.0,28444.0,28404.0,27872.0,27532.0
27925.0,27960.0,27952.0,28137.0,28046.0,27361.0,27759.0,27839.0,27939.0,27654.0,27980.0,27598.0,27772.0,27746.0,27785.0,27745.0,27457.0,28083.0,28258.0,28000.0,28355.0,28378.0,28179.0,27847.0,27532.0
27784.0,27822.0,27817.0,28036.0,27920.0,27260.0,27700.0,27804.0,27880.0,27628.0,27957.0,27567.0,27725.0,27590.0,27786.0,27756.0,27463.0,28014.0,28068.0,27718.0,27799.0,27969.0,27611.0,27828.0,27462.0
27783.0,27826.0,27817.0,28038.0,27915.0,27296.0,27708.0,27790.0,27889.0,27642.0,27959.0,27571.0,27724.0,27610.0,27745.0,27686.0,27419.0,27978.0,28021.0,27685.0,27760.0,27976.0,27583.0,27821.0,27440.0
27777.0,27821.0,27819.0,28037.0,27917.0,27261.0,27696.0,27808.0,27881.0,27628.0,27960.0,27561.0,27730.0,27599.0,27751.0,27711.0,27411.0,27979.0,28026.0,27696.0,27774.0,27962.0,27594.0,27837.0,27462.0
27778.0,27819.0,27807.0,28034.0,27905.0,27287.0,27699.0,27796.0,27887.0,27625.0,27978.0,27585.0,27737.0,27599.0,27764.0,27692.0,27378.0,27982.0,28010.0,27684.0,27762.0,27968.0,27589.0,27823.0,27452.0
27787.0,27826.0,27826.0,28052.0,27912.0,27296.0,27705.0,27795.0,27902.0,27645.0,27951.0,27562.0,27711.0,27591.0,27768.0,27704.0,27416.0,28001.0,28052.0,27684.0,27780.0,27968.0,27590.0,27835.0,27470.0
27782.0,27841.0,27834.0,28049.0,27917.0,27306.0,27698.0,27807.0,27893.0,27629.0,27962.0,27565.0,27734.0,27609.0,27752.0,27708.0,27396.0,28004.0,28017.0,27695.0,27772.0,27981.0,27615.0,27831.0,27450.0
27782.0,27827.0,27821.0,28041.0,27914.0,27277.0,27701.0,27799.0,27891.0,27630.0,27974.0,27571.0,27738.0,27617.0,27781.0,27727.0,27418.0,28022.0,28019.0,27708.0,27760.0,27976.0,27607.0,27819.0,27458.0
27800.0,27842.0,27813.0,28049.0,27920.0,27286.0,27709.0,27807.0,27901.0,27626.0,27960.0,27568.0,27733.0,27594.0,27779.0,27708.0,27415.0,28019.0,28025.0,27697.0,27764.0,27981.0,27612.0,27823.0,27463.0
27786.0,27821.0,27822.0,28034.0,27917.0,27272.0,27709.0,27801.0,27889.0,27641.0,27966.0,27588.0,27728.0,27608.0,27772.0,27717.0,27421.0,28000.0,28032.0,27695.0,27785.0,27966.0,27613.0,27829.0,27468.0
27786.0,27824.0,27819.0,28038.0,27909.0,27286.0,27705.0,27792.0,27895.0,27631.0,27974.0,27565.0,27737.0,27619.0,27776.0,27718.0,27409.0,28016.0,28028.0,27699.0,27758.0,27971.0,27608.0,27820.0,27452.0
27785.0,27848.0,27823.0,28051.0,27925.0,27296.0,27709.0,27805.0,27891.0,27641.0,27955.0,27556.0,27720.0,27592.0,27776.0,27707.0,27434.0,27997.0,28014.0,27697.0,27773.0,27962.0,27601.0,27823.0,27455.0
27796.0,27827.0,27831.0,28048.0,27925.0,27284.0,27711.0,27796.0,27896.0,27647.0,27970.0,27575.0,27730.0,27585.0,27768.0,27720.0,27407.0,28006.0,28038.0,27707.0,27770.0,27972.0,27602.0,27822.0,27471.0
27791.0,27830.0,27827.0,28057.0,27923.0,27278.0,27704.0,27805.0,27894.0,27648.0,27964.0,27576.0,27732.0,27614.0,27771.0,27718.0,27435.0,28007.0,28038.0,27700.0,27767.0,27975.0,27609.0,27826.0,27444.0
27790.0,27836.0,27822.0,28054.0,27930.0,27277.0,27717.0,27816.0,27901.0,27625.0,27967.0,27578.0,27732.0,27613.0,27785.0,27732.0,27428.0,28022.0,28039.0,27713.0,27780.0,27973.0,27616.0,27836.0,27444.0
