Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-6,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-14,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-19,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25
27976.0,27956.0,27941.0,28280.0,28073.0,27514.0,27785.0,27919.0,27939.0,27700.0,27994.0,27642.0,27786.0,27665.0,27839.0,27776.0,27528.0,28125.0,28313.0,27853.0,28550.0,28125.0,28027.0,27896.0,27557.0
27959.0,27947.0,27930.0,28271.0,28066.0,27491.0,27764.0,27926.0,27928.0,27696.0,27982.0,27636.0,27772.0,27656.0,27837.0,27766.0,27501.0,28106.0,28311.0,27847.0,28557.0,28101.0,27975.0,27897.0,27560.0
27968.0,27954.0,27934.0,28267.0,28080.0,27462.0,27768.0,27915.0,27928.0,27691.0,28014.0,27645.0,27776.0,27667.0,27841.0,27756.0,27506.0,28115.0,28298.0,27836.0,28541.0,28091.0,27968.0,27879.0,27541.0
27946.0,27952.0,27924.0,28273.0,28059.0,27490.0,27771.0,27919.0,27921.0,27692.0,27998.0,27642.0,27782.0,27642.0,27834.0,27776.0,27504.0,28101.0,28296.0,27842.0,28525.0,28091.0,27956.0,27891.0,27531.0
27956.0,27935.0,27923.0,28263.0,28067.0,27487.0,27783.0,27892.0,27934.0,27706.0,27993.0,27643.0,27775.0,27673.0,27832.0,27748.0,27530.0,28101.0,28297.0,27833.0,28517.0,28115.0,27958.0,27881.0,27530.0
27947.0,27943.0,27921.0,28261.0,28055.0,27495.0,27786.0,27903.0,27937.0,27697.0,28010.0,27638.0,27798.0,27659.0,27835.0,27760.0,27520.0,28101.0,28282.0,27828.0,28510.0,28085.0,27966.0,27884.0,27555.0
27948.0,27929.0,27918.0,28255.0,28058.0,27482.0,27775.0,27905.0,27924.0,27681.0,28008.0,27639.0,27780.0,27663.0,27842.0,27762.0,27485.0,28112.0,28278.0,27821.0,28523.0,28072.0,27939.0,27878.0,27548.0
27952.0,27953.0,27914.0,28261.0,28057.0,27488.0,27777.0,27900.0,27931.0,27686.0,27986.0,27639.0,27777.0,27652.0,27840.0,27764.0,27533.0,28099.0,28269.0,27823.0,28501.0,28073.0,27947.0,27882.0,27542.0
27950.0,27936.0,27913.0,28265.0,28060.0,27487.0,27769.0,27899.0,27930.0,27696.0,27994.0,27642.0,27783.0,27656.0,27834.0,27759.0,27535.0,28098.0,28282.0,27815.0,28508.0,28069.0,27946.0,27888.0,27553.0
27946.0,27931.0,27913.0,28257.0,28049.0,27472.0,27764.0,27902.0,27911.0,27686.0,28005.0,27652.0,27794.0,27660.0,27839.0,27745.0,27498.0,28087.0,28281.0,27814.0,28498.0,28084.0,27944.0,27882.0,27548.0
