Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-6,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-14,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-19,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25
28171.0,28087.0,28162.0,28370.0,28329.0,27962.0,28224.0,28754.0,28311.0,27725.0,28084.0,27933.0,28243.0,28400.0,28034.0,27950.0,27584.0,28352.0,28347.0,28356.0,28636.0,28747.0,28411.0,28065.0,27646.0
28128.0,28032.0,28150.0,28336.0,28292.0,27929.0,28217.0,28706.0,28289.0,27717.0,28121.0,27933.0,28239.0,28168.0,28027.0,27937.0,27591.0,28317.0,28349.0,28344.0,28645.0,28741.0,28408.0,28031.0,27664.0
28136.0,28011.0,28066.0,28339.0,28256.0,27916.0,28169.0,28648.0,28226.0,27703.0,28063.0,27946.0,28271.0,28267.0,28021.0,27941.0,27589.0,28323.0,28349.0,28358.0,28640.0,28739.0,28398.0,28041.0,27653.0
28076.0,27976.0,28075.0,28332.0,28276.0,27902.0,28159.0,28660.0,28232.0,27732.0,28063.0,27927.0,28247.0,28208.0,28019.0,27936.0,27584.0,28334.0,28358.0,28407.0,28644.0,28731.0,28405.0,28016.0,27635.0
28095.0,27989.0,28083.0,28342.0,28279.0,27955.0,28172.0,28694.0,28244.0,27750.0,28037.0,27925.0,28239.0,28185.0,28080.0,27996.0,27630.0,28376.0,28390.0,28376.0,28674.0,28791.0,28493.0,28014.0,27887.0
28096.0,27999.0,28071.0,28355.0,28285.0,27963.0,28174.0,28688.0,28244.0,27752.0,28046.0,27924.0,28233.0,28169.0,28068.0,27986.0,27601.0,28342.0,28379.0,28357.0,28725.0,28772.0,28633.0,27983.0,27823.0
28108.0,28003.0,28102.0,28346.0,28267.0,27949.0,28169.0,28693.0,28231.0,27709.0,28038.0,27923.0,28221.0,28154.0,28109.0,28032.0,27793.0,28349.0,28420.0,28366.0,28738.0,28787.0,28555.0,27993.0,27746.0
28089.0,28007.0,28104.0,28347.0,28272.0,27939.0,28173.0,28663.0,28235.0,27715.0,28033.0,27926.0,28242.0,28147.0,28073.0,28021.0,27639.0,28341.0,28350.0,28354.0,28650.0,28749.0,28433.0,27993.0,27665.0
28194.0,28101.0,28132.0,28339.0,28266.0,27944.0,28162.0,28683.0,28213.0,27706.0,28027.0,27923.0,28226.0,28157.0,28159.0,28044.0,27619.0,28342.0,28362.0,28341.0,28658.0,28746.0,28437.0,27983.0,27645.0
28109.0,27996.0,28096.0,28353.0,28260.0,27911.0,28159.0,28646.0,28219.0,27715.0,28035.0,27918.0,28229.0,28153.0,28125.0,28029.0,27809.0,28315.0,28369.0,28340.0,28635.0,28735.0,28412.0,27980.0,27671.0
28105.0,27991.0,28087.0,28359.0,28258.0,27963.0,28195.0,28623.0,28210.0,27733.0,28036.0,27968.0,28231.0,28100.0,28039.0,27955.0,27613.0,28329.0,28361.0,28330.0,28647.0,28741.0,28398.0,27999.0,27642.0
28135.0,28007.0,28093.0,28367.0,28284.0,27931.0,28143.0,28719.0,28225.0,27905.0,28070.0,27913.0,28227.0,28185.0,28036.0,27949.0,27597.0,28344.0,28368.0,28357.0,28672.0,28772.0,28472.0,28021.0,27767.0
28129.0,28086.0,28105.0,28373.0,28293.0,27961.0,28194.0,28719.0,28249.0,27727.0,28066.0,27918.0,28221.0,28122.0,28025.0,27946.0,27577.0,28324.0,28351.0,28355.0,28646.0,28736.0,28420.0,27980.0,27640.0
28113.0,28005.0,28098.0,28364.0,28292.0,27960.0,28195.0,28703.0,28252.0,27849.0,28052.0,27917.0,28239.0,28189.0,28036.0,27946.0,27601.0,28324.0,28341.0,28353.0,28641.0,28732.0,28416.0,28003.0,27647.0
28117.0,27983.0,28093.0,28357.0,28297.0,27998.0,28186.0,28812.0,28247.0,27727.0,28059.0,27931.0,28234.0,28143.0,28034.0,27954.0,27568.0,28329.0,28348.0,28347.0,28659.0,28745.0,28414.0,27976.0,27664.0
