Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-6,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-14,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-19,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25
27856.0,27898.0,27844.0,28181.0,27975.0,27418.0,27735.0,27907.0,27907.0,27679.0,27982.0,27635.0,27761.0,27638.0,27837.0,27763.0,27488.0,28082.0,28262.0,27792.0,28474.0,28043.0,27887.0,27824.0,27516.0
27856.0,27903.0,27836.0,28172.0,27961.0,27422.0,27750.0,27894.0,27909.0,27700.0,27966.0,27616.0,27756.0,27643.0,27829.0,27749.0,27517.0,28098.0,28261.0,27806.0,28448.0,28056.0,27892.0,27839.0,27506.0
27846.0,27882.0,27848.0,28185.0,27961.0,27418.0,27725.0,27895.0,27903.0,27688.0,27969.0,27615.0,27768.0,27657.0,27814.0,27741.0,27511.0,28079.0,28260.0,27796.0,28459.0,28054.0,27902.0,27840.0,27495.0
27855.0,27886.0,27840.0,28169.0,27960.0,27434.0,27740.0,27891.0,27906.0,27676.0,27972.0,27615.0,27767.0,27652.0,27833.0,27755.0,27493.0,28084.0,28256.0,27789.0,28469.0,28036.0,27902.0,27842.0,27511.0
27853.0,27895.0,27843.0,28165.0,27966.0,27405.0,27733.0,27892.0,27909.0,27672.0,27983.0,27630.0,27764.0,27635.0,27829.0,27758.0,27490.0,28079.0,28252.0,27792.0,28462.0,28044.0,27886.0,27828.0,27510.0
27852.0,27886.0,27848.0,28178.0,27954.0,27440.0,27730.0,27900.0,27914.0,27688.0,27971.0,27615.0,27767.0,27637.0,27807.0,27742.0,27510.0,28073.0,28260.0,27787.0,28447.0,28042.0,27872.0,27854.0,27514.0
27855.0,27898.0,27845.0,28170.0,27962.0,27409.0,27747.0,27891.0,27905.0,27691.0,27964.0,27601.0,27758.0,27640.0,27831.0,27746.0,27512.0,28087.0,28256.0,27792.0,28432.0,28055.0,27889.0,27834.0,27519.0
27845.0,27882.0,27846.0,28177.0,27952.0,27406.0,27732.0,27905.0,27897.0,27685.0,27967.0,27612.0,27766.0,27640.0,27812.0,27755.0,27516.0,28066.0,28257.0,27808.0,28443.0,28034.0,27873.0,27847.0,27493.0
27848.0,27887.0,27843.0,28182.0,27970.0,27393.0,27727.0,27896.0,27909.0,27686.0,27982.0,27603.0,27755.0,27655.0,27822.0,27738.0,27501.0,28081.0,28255.0,27797.0,28444.0,28039.0,27870.0,27842.0,27499.0
27850.0,27895.0,27847.0,28172.0,27960.0,27425.0,27736.0,27895.0,27906.0,27685.0,27983.0,27609.0,27776.0,27660.0,27839.0,27754.0,27515.0,28093.0,28258.0,27805.0,28428.0,28045.0,27878.0,27839.0,27518.0
27851.0,27891.0,27856.0,28180.0,27975.0,27437.0,27736.0,27891.0,27913.0,27689.0,27971.0,27618.0,27759.0,27647.0,27797.0,27747.0,27467.0,28061.0,28227.0,27781.0,28316.0,28042.0,27879.0,27841.0,27504.0
27846.0,27874.0,27844.0,28180.0,27970.0,27398.0,27741.0,27893.0,27916.0,27692.0,27973.0,27616.0,27764.0,27650.0,27800.0,27718.0,27495.0,28056.0,28224.0,27770.0,28250.0,28030.0,27837.0,27843.0,27496.0
27844.0,27882.0,27845.0,28178.0,27966.0,27427.0,27729.0,27887.0,27911.0,27683.0,27976.0,27611.0,27767.0,27637.0,27828.0,27746.0,27533.0,28087.0,28261.0,27786.0,28356.0,28034.0,27876.0,27844.0,27520.0
27838.0,27902.0,27836.0,28184.0,27962.0,27433.0,27737.0,27891.0,27913.0,27686.0,27966.0,27617.0,27755.0,27622.0,27811.0,27745.0,27524.0,28065.0,28255.0,27786.0,28370.0,28037.0,27851.0,27842.0,27515.0
27842.0,27900.0,27844.0,28173.0,27973.0,27441.0,27741.0,27893.0,27914.0,27692.0,27982.0,27624.0,27760.0,27643.0,27828.0,27736.0,27520.0,28068.0,28250.0,27786.0,28370.0,28032.0,27836.0,27859.0,27509.0
27847.0,27892.0,27850.0,28186.0,27979.0,27447.0,27731.0,27915.0,27920.0,27690.0,27982.0,27631.0,27757.0,27645.0,27815.0,27758.0,27507.0,28067.0,28263.0,27787.0,28385.0,28039.0,27859.0,27857.0,27496.0
27846.0,27888.0,27851.0,28189.0,27971.0,27442.0,27744.0,27922.0,27926.0,27692.0,27982.0,27617.0,27761.0,27641.0,27821.0,27758.0,27516.0,28071.0,28260.0,27788.0,28401.0,28051.0,27875.0,27840.0,27525.0
27849.0,27891.0,27862.0,28217.0,28005.0,27514.0,27778.0,27941.0,27934.0,27690.0,27985.0,27619.0,27762.0,27643.0,27810.0,27755.0,27495.0,28105.0,28265.0,27891.0,28494.0,28102.0,27924.0,27840.0,27497.0
27847.0,27902.0,27866.0,28241.0,28024.0,27534.0,27782.0,27952.0,27938.0,27694.0,27979.0,27630.0,27774.0,27669.0,27812.0,27756.0,27530.0,28138.0,28269.0,27938.0,28519.0,28125.0,28028.0,27845.0,27502.0
27870.0,27909.0,27881.0,28240.0,28024.0,27594.0,27792.0,27970.0,27947.0,27698.0,27976.0,27621.0,27769.0,27646.0,27803.0,27757.0,27517.0,28140.0,28279.0,27940.0,28527.0,28131.0,28000.0,27862.0,27518.0
27881.0,27936.0,27900.0,28248.0,28104.0,27834.0,27868.0,28093.0,27974.0,27692.0,27980.0,27634.0,27788.0,27672.0,27828.0,27769.0,27523.0,28171.0,28263.0,28039.0,28538.0,28194.0,28074.0,27857.0,27529.0
27887.0,27925.0,27891.0,28234.0,28113.0,27859.0,27882.0,28102.0,27976.0,27690.0,27988.0,27635.0,27786.0,27680.0,27857.0,27782.0,27547.0,28213.0,28269.0,28111.0,28544.0,28232.0,28167.0,27838.0,27523.0
27891.0,27928.0,27898.0,28239.0,28122.0,27885.0,27895.0,28124.0,27988.0,27687.0,27980.0,27645.0,27775.0,27679.0,27834.0,27775.0,27563.0,28222.0,28272.0,28120.0,28531.0,28247.0,28155.0,27839.0,27519.0
27888.0,27921.0,27895.0,28240.0,28130.0,27874.0,27904.0,28137.0,27983.0,27701.0,27979.0,27656.0,27781.0,27689.0,27836.0,27778.0,27556.0,28196.0,28264.0,28140.0,28553.0,28259.0,28209.0,27856.0,27523.0
