Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-6,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-14,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-19,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25
27945.0,27922.0,27935.0,28183.0,28137.0,27549.0,28181.0,28012.0,28026.0,27726.0,27985.0,27864.0,28303.0,27808.0,27885.0,27797.0,27497.0,28189.0,28201.0,28164.0,28344.0,28251.0,27961.0,27853.0,27533.0
27951.0,27908.0,27941.0,28201.0,28139.0,27553.0,28163.0,28012.0,28030.0,27709.0,27992.0,27875.0,28320.0,27828.0,27872.0,27801.0,27510.0,28184.0,28209.0,28164.0,28354.0,28263.0,27989.0,27865.0,27528.0
27954.0,27915.0,27943.0,28186.0,28150.0,27602.0,28170.0,28027.0,28040.0,27703.0,28016.0,27885.0,28350.0,27823.0,27893.0,27801.0,27483.0,28187.0,28209.0,28168.0,28364.0,28271.0,27997.0,27862.0,27522.0
27964.0,27912.0,27921.0,28194.0,28148.0,27597.0,28188.0,28034.0,28034.0,27706.0,27991.0,27876.0,28341.0,27846.0,27876.0,27815.0,27495.0,28194.0,28202.0,28178.0,28362.0,28280.0,28018.0,27868.0,27535.0
27941.0,27924.0,27937.0,28205.0,28144.0,27602.0,28168.0,28029.0,28037.0,27713.0,27994.0,27883.0,28332.0,27846.0,27878.0,27808.0,27481.0,28184.0,28213.0,28177.0,28355.0,28283.0,28005.0,27855.0,27530.0
27967.0,27923.0,27932.0,28205.0,28146.0,27604.0,28170.0,28039.0,28042.0,27711.0,27980.0,27870.0,28324.0,27836.0,27878.0,27798.0,27502.0,28183.0,28201.0,28187.0,28382.0,28276.0,28017.0,27856.0,27510.0
27951.0,27927.0,27944.0,28203.0,28146.0,27632.0,28178.0,28040.0,28050.0,27705.0,27988.0,27875.0,28308.0,27833.0,27882.0,27807.0,27517.0,28204.0,28221.0,28183.0,28389.0,28282.0,28028.0,27863.0,27508.0
27952.0,27912.0,27939.0,28196.0,28156.0,27615.0,28182.0,28055.0,28041.0,27721.0,27987.0,27878.0,28326.0,27846.0,27878.0,27814.0,27480.0,28202.0,28212.0,28195.0,28386.0,28291.0,28011.0,27870.0,27513.0
27953.0,27926.0,27952.0,28190.0,28165.0,27645.0,28199.0,28066.0,28058.0,27696.0,28018.0,27903.0,28341.0,27844.0,27877.0,27804.0,27502.0,28190.0,28206.0,28179.0,28395.0,28300.0,28017.0,27874.0,27541.0
27947.0,27920.0,27923.0,28205.0,28149.0,27614.0,28172.0,28041.0,28051.0,27711.0,27995.0,27883.0,28347.0,27856.0,27874.0,27807.0,27507.0,28186.0,28213.0,28176.0,28372.0,28298.0,28038.0,27869.0,27519.0
27954.0,27915.0,27940.0,28195.0,28141.0,27637.0,28169.0,28046.0,28045.0,27701.0,28010.0,27879.0,28347.0,27867.0,27895.0,27818.0,27503.0,28206.0,28204.0,28191.0,28356.0,28299.0,28030.0,27856.0,27520.0
27960.0,27930.0,27944.0,28206.0,28155.0,27639.0,28185.0,28046.0,28060.0,27705.0,27996.0,27894.0,28343.0,27866.0,27893.0,27814.0,27519.0,28193.0,28205.0,28183.0,28382.0,28297.0,28034.0,27879.0,27533.0
27955.0,27923.0,27942.0,28200.0,28157.0,27630.0,28180.0,28058.0,28061.0,27718.0,27994.0,27882.0,28327.0,27851.0,27886.0,27826.0,27482.0,28191.0,28202.0,28181.0,28375.0,28301.0,28057.0,27871.0,27538.0
27958.0,27913.0,27940.0,28207.0,28161.0,27629.0,28184.0,28060.0,28061.0,27714.0,27995.0,27881.0,28335.0,27854.0,27875.0,27815.0,27482.0,28192.0,28206.0,28187.0,28391.0,28292.0,28019.0,27857.0,27513.0
27950.0,27921.0,27943.0,28201.0,28163.0,27669.0,28201.0,28081.0,28068.0,27689.0,28010.0,27903.0,28344.0,27852.0,27879.0,27814.0,27501.0,28192.0,28209.0,28177.0,28406.0,28302.0,28023.0,27865.0,27520.0
27956.0,27920.0,27944.0,28204.0,28160.0,27665.0,28179.0,28068.0,28067.0,27704.0,27988.0,27884.0,28343.0,27874.0,27886.0,27827.0,27490.0,28208.0,28216.0,28202.0,28390.0,28314.0,28063.0,27878.0,27521.0
