Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-6,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-14,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-19,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25
27918.0,27941.0,27905.0,28259.0,28051.0,27561.0,27818.0,27975.0,27967.0,27700.0,28004.0,27655.0,27791.0,27673.0,27842.0,27764.0,27506.0,28060.0,28194.0,27769.0,28072.0,28042.0,27811.0,27878.0,27522.0
27924.0,27932.0,27914.0,28264.0,28043.0,27564.0,27805.0,27971.0,27955.0,27710.0,27993.0,27642.0,27781.0,27668.0,27820.0,27757.0,27495.0,28048.0,28224.0,27760.0,28086.0,28039.0,27814.0,27887.0,27520.0
28064.0,27965.0,27970.0,28259.0,28124.0,27570.0,27839.0,27978.0,27965.0,27711.0,27993.0,27655.0,27775.0,27663.0,27823.0,27767.0,27477.0,28053.0,28196.0,27761.0,28072.0,28029.0,27840.0,27870.0,27521.0
28285.0,28264.0,28317.0,28325.0,29171.0,28845.0,28873.0,28174.0,27958.0,27706.0,28010.0,27664.0,27794.0,27658.0,27839.0,27834.0,27480.0,28121.0,28182.0,27794.0,28017.0,28033.0,27804.0,27873.0,27537.0
28215.0,28587.0,28189.0,28613.0,28356.0,28208.0,28185.0,29345.0,28291.0,28361.0,28127.0,27642.0,27781.0,27671.0,27831.0,27762.0,27484.0,28060.0,28243.0,27786.0,28326.0,28036.0,27887.0,27862.0,27523.0
27951.0,27957.0,27982.0,28261.0,28232.0,27664.0,28130.0,28042.0,28298.0,27866.0,28756.0,28320.0,27828.0,27671.0,27862.0,27778.0,27534.0,28068.0,28282.0,27785.0,28619.0,28050.0,30616.0,27883.0,27655.0
27975.0,27968.0,27961.0,28276.0,28129.0,27700.0,27961.0,28003.0,28134.0,27720.0,29936.0,28678.0,28067.0,29034.0,27836.0,27776.0,27507.0,28076.0,28299.0,27792.0,28582.0,28054.0,28584.0,28054.0,28540.0
27948.0,27981.0,27928.0,28457.0,28066.0,28631.0,27848.0,28572.0,28784.0,27813.0,27994.0,27771.0,29502.0,27735.0,29594.0,27982.0,27722.0,28676.0,28289.0,27934.0,28232.0,28482.0,27862.0,27885.0,27543.0
27952.0,27954.0,27939.0,28270.0,28084.0,27659.0,27889.0,28010.0,28110.0,27707.0,30219.0,27889.0,28021.0,28581.0,27862.0,27779.0,27503.0,28087.0,28276.0,27792.0,28641.0,28157.0,29139.0,29264.0,28182.0
28264.0,29755.0,28178.0,28666.0,28652.0,28754.0,28230.0,28256.0,28030.0,27716.0,27994.0,27842.0,30085.0,27683.0,27853.0,27775.0,27534.0,28070.0,28233.0,27787.0,28156.0,28053.0,27857.0,27882.0,27533.0
28073.0,28068.0,28056.0,28558.0,28226.0,29015.0,28146.0,28494.0,30287.0,27716.0,28027.0,27674.0,27789.0,27672.0,27856.0,27776.0,27498.0,28070.0,28263.0,27781.0,28363.0,28051.0,27872.0,27865.0,27538.0
27982.0,28003.0,27965.0,28338.0,28082.0,28059.0,27829.0,28436.0,27973.0,27858.0,27990.0,27649.0,27788.0,27667.0,27850.0,27776.0,27589.0,28078.0,28431.0,27776.0,28826.0,28052.0,29462.0,27884.0,27580.0
27948.0,27933.0,27922.0,28263.0,28069.0,27708.0,27840.0,28037.0,27966.0,27809.0,28022.0,27655.0,27797.0,27702.0,27930.0,27803.0,27519.0,28149.0,28315.0,27956.0,28524.0,28172.0,28214.0,27945.0,27563.0
27948.0,27952.0,27937.0,28263.0,28111.0,27740.0,27914.0,28045.0,28042.0,27696.0,28041.0,27829.0,28161.0,28205.0,27929.0,27869.0,27603.0,28179.0,28302.0,27920.0,28288.0,28275.0,28708.0,28725.0,27822.0
27940.0,27947.0,27914.0,28267.0,28063.0,27661.0,27825.0,28027.0,27971.0,27692.0,27994.0,27650.0,27782.0,27686.0,27832.0,27760.0,27492.0,28058.0,28228.0,27771.0,28168.0,28057.0,27869.0,27876.0,27513.0
27917.0,27945.0,27906.0,28269.0,28057.0,27641.0,27810.0,28017.0,27949.0,27703.0,27991.0,27645.0,27793.0,27678.0,27834.0,27759.0,27478.0,28063.0,28234.0,27777.0,28137.0,28054.0,27843.0,27871.0,27514.0
27916.0,27933.0,27912.0,28258.0,28058.0,27655.0,27821.0,28011.0,27964.0,27699.0,28003.0,27637.0,27799.0,27687.0,27862.0,27771.0,27504.0,28077.0,28220.0,27784.0,28122.0,28048.0,27843.0,27867.0,27530.0
27916.0,27932.0,27922.0,28259.0,28068.0,27641.0,27826.0,28021.0,27952.0,27700.0,27995.0,27649.0,27773.0,27671.0,27831.0,27762.0,27514.0,28079.0,28224.0,27784.0,28108.0,28039.0,27831.0,27869.0,27532.0
27929.0,27937.0,27906.0,28257.0,28057.0,27638.0,27836.0,28007.0,27959.0,27729.0,27989.0,27641.0,27780.0,27677.0,27847.0,27760.0,27514.0,28068.0,28225.0,27767.0,28111.0,28057.0,27835.0,27876.0,27526.0
27906.0,27935.0,27909.0,28256.0,28065.0,27654.0,27834.0,28013.0,27969.0,27691.0,28009.0,27665.0,27783.0,27684.0,27829.0,27761.0,27505.0,28061.0,28228.0,27775.0,28119.0,28050.0,27825.0,27867.0,27518.0
28107.0,28513.0,28056.0,29973.0,28305.0,27584.0,28755.0,27973.0,28145.0,27717.0,28003.0,27696.0,27843.0,27723.0,27824.0,27750.0,27523.0,28059.0,28240.0,27767.0,28108.0,28046.0,27818.0,27875.0,27541.0
28076.0,28072.0,28040.0,28774.0,28227.0,29965.0,28097.0,28023.0,29266.0,27692.0,28009.0,27677.0,27811.0,27686.0,27826.0,27761.0,27504.0,28075.0,28224.0,27785.0,28153.0,28048.0,27840.0,27875.0,27536.0
27926.0,27960.0,27917.0,28279.0,28080.0,27915.0,27822.0,30300.0,27960.0,27715.0,27990.0,27653.0,27784.0,27679.0,27837.0,27772.0,27496.0,28051.0,28236.0,27766.0,28131.0,28044.0,27855.0,27878.0,27520.0
27938.0,27952.0,27929.0,28316.0,28077.0,27628.0,27819.0,28433.0,27959.0,27800.0,28006.0,27643.0,27780.0,27672.0,27836.0,27759.0,27493.0,28064.0,28235.0,27779.0,28103.0,28038.0,27804.0,27862.0,27528.0
27923.0,27935.0,27915.0,28270.0,28081.0,27625.0,27832.0,28024.0,27976.0,27691.0,27999.0,27656.0,27792.0,27679.0,27833.0,27755.0,27496.0,28050.0,28166.0,27764.0,27922.0,28039.0,27738.0,27881.0,27531.0
27945.0,27947.0,27925.0,28264.0,28076.0,27625.0,27830.0,28013.0,27966.0,27677.0,27988.0,27653.0,27786.0,27657.0,27855.0,27775.0,27565.0,29299.0,29237.0,27800.0,28402.0,28044.0,28878.0,27873.0,28076.0
27941.0,27934.0,27917.0,28257.0,28067.0,27610.0,27823.0,28005.0,27958.0,27713.0,27994.0,27647.0,27774.0,27659.0,27941.0,28695.0,27704.0,28078.0,28266.0,27785.0,28099.0,28041.0,27804.0,27879.0,27536.0
27936.0,27934.0,27912.0,28269.0,28080.0,27913.0,27871.0,28605.0,27993.0,28809.0,28002.0,27644.0,27784.0,27679.0,27854.0,27767.0,27635.0,28068.0,28300.0,27781.0,28331.0,28044.0,27840.0,27884.0,27515.0
27948.0,27941.0,27950.0,28271.0,30282.0,27697.0,27982.0,28034.0,27972.0,27704.0,27991.0,27846.0,28166.0,27672.0,28039.0,27936.0,27760.0,28292.0,28707.0,27909.0,28852.0,28070.0,28561.0,27886.0,27620.0
27919.0,27934.0,27917.0,28276.0,28070.0,27649.0,27831.0,28009.0,27965.0,27709.0,27993.0,27648.0,27786.0,27679.0,27838.0,27755.0,27546.0,28066.0,28251.0,27785.0,28239.0,28052.0,27857.0,27848.0,27511.0
27929.0,27942.0,27918.0,28265.0,28070.0,27640.0,27826.0,28006.0,27966.0,27691.0,27987.0,27646.0,27777.0,27661.0,27833.0,27767.0,27497.0,28068.0,28236.0,27785.0,28196.0,28039.0,27848.0,27876.0,27510.0
27933.0,27932.0,27910.0,28270.0,28068.0,27616.0,27828.0,28003.0,27943.0,27699.0,27988.0,27642.0,27785.0,27664.0,27817.0,27768.0,27507.0,28054.0,28236.0,27786.0,28169.0,28031.0,27834.0,27876.0,27528.0
28176.0,28136.0,28162.0,28409.0,29701.0,28100.0,27896.0,28504.0,27957.0,27832.0,27989.0,27739.0,27780.0,27681.0,27819.0,27753.0,27513.0,28063.0,28245.0,27786.0,28169.0,28038.0,27814.0,27864.0,27534.0
27923.0,27937.0,27922.0,28265.0,28078.0,27630.0,27841.0,28004.0,27968.0,27707.0,28008.0,27665.0,27791.0,27660.0,27816.0,27750.0,27474.0,28040.0,28211.0,27770.0,28046.0,28027.0,27795.0,27861.0,27532.0
27884.0,27943.0,27904.0,28254.0,28089.0,27662.0,27910.0,28032.0,28705.0,27721.0,28016.0,27785.0,27890.0,29057.0,27817.0,27746.0,27464.0,28032.0,28125.0,27745.0,28110.0,28020.0,27829.0,27884.0,27520.0
27905.0,27943.0,27906.0,28252.0,28082.0,27755.0,27842.0,28410.0,27978.0,27739.0,27999.0,27755.0,28772.0,27713.0,27804.0,27742.0,27465.0,28035.0,28083.0,27743.0,27849.0,28025.0,27680.0,27881.0,27506.0
28105.0,28040.0,28221.0,28279.0,28380.0,27863.0,27882.0,28245.0,27971.0,27704.0,28009.0,27645.0,27781.0,27661.0,28773.0,29398.0,27882.0,30165.0,28562.0,28440.0,29180.0,28126.0,27729.0,27871.0,27524.0
27908.0,27921.0,27916.0,28259.0,28088.0,27909.0,27855.0,28347.0,27969.0,27731.0,28032.0,27887.0,28600.0,27830.0,28039.0,28260.0,27675.0,28168.0,28376.0,27836.0,28579.0,28208.0,30055.0,27901.0,27539.0
27888.0,27953.0,27907.0,28268.0,28079.0,27628.0,27823.0,28008.0,27951.0,27703.0,27998.0,27649.0,27790.0,27668.0,27890.0,27776.0,28533.0,28075.0,28320.0,27776.0,28442.0,28049.0,27863.0,27866.0,27512.0
27893.0,27926.0,27906.0,28248.0,28083.0,27635.0,27830.0,27994.0,27955.0,27698.0,28007.0,27654.0,27794.0,27657.0,27849.0,27763.0,27497.0,28063.0,28214.0,27769.0,28031.0,28033.0,27760.0,27872.0,27518.0
27898.0,27929.0,27912.0,28257.0,28087.0,27646.0,27847.0,27988.0,27965.0,27719.0,27997.0,27649.0,27778.0,27669.0,27837.0,27757.0,27518.0,28060.0,28219.0,27770.0,28016.0,28051.0,27747.0,27871.0,27501.0
27905.0,27932.0,27911.0,28269.0,28087.0,27618.0,27840.0,28005.0,27951.0,27703.0,27998.0,27646.0,27784.0,27657.0,27831.0,27776.0,27516.0,28059.0,28205.0,27784.0,28012.0,28039.0,27756.0,27885.0,27513.0
30264.0,28153.0,28711.0,29179.0,28170.0,27745.0,27867.0,28008.0,27966.0,27701.0,28009.0,27640.0,27790.0,27663.0,27827.0,27759.0,27462.0,28053.0,28137.0,27764.0,27998.0,28035.0,27768.0,27882.0,27527.0
27911.0,27944.0,27918.0,28261.0,28077.0,27505.0,27805.0,27938.0,27944.0,27699.0,27996.0,27658.0,27769.0,27657.0,27856.0,27759.0,27489.0,28101.0,28116.0,27783.0,27883.0,28026.0,27730.0,27869.0,27503.0
27906.0,27947.0,27907.0,28193.0,28047.0,27390.0,27796.0,27899.0,27943.0,27701.0,28000.0,27738.0,27798.0,27662.0,27861.0,27759.0,27507.0,28063.0,28247.0,27777.0,28182.0,28096.0,27806.0,27886.0,27517.0
27895.0,27926.0,27902.0,28228.0,28046.0,27782.0,27788.0,28524.0,27945.0,28901.0,28010.0,27653.0,27792.0,27781.0,27987.0,27951.0,27631.0,28267.0,28332.0,28045.0,28233.0,28362.0,28209.0,29670.0,28535.0
28064.0,28148.0,27909.0,29350.0,28062.0,28086.0,27833.0,28777.0,28023.0,28159.0,28132.0,27777.0,27918.0,27722.0,27834.0,27772.0,27500.0,28085.0,28192.0,27789.0,27938.0,28037.0,27746.0,27896.0,27523.0
27922.0,27940.0,27926.0,28265.0,28125.0,27717.0,27958.0,28942.0,27989.0,27716.0,28009.0,27958.0,27827.0,27670.0,27852.0,27766.0,27497.0,28073.0,28233.0,27783.0,28109.0,28040.0,27810.0,27891.0,27540.0
27893.0,27921.0,27904.0,28254.0,28036.0,27892.0,27794.0,28079.0,27964.0,27718.0,28004.0,27689.0,27961.0,27729.0,27830.0,27763.0,27521.0,28083.0,28260.0,29335.0,28201.0,28443.0,27838.0,27892.0,27544.0
27939.0,27978.0,27953.0,28290.0,28062.0,27892.0,27810.0,28139.0,27970.0,27717.0,28003.0,27651.0,27799.0,27669.0,27927.0,27856.0,27557.0,28187.0,28251.0,27878.0,28190.0,28087.0,27838.0,27899.0,27544.0
27874.0,27937.0,27888.0,28271.0,28058.0,27525.0,27794.0,27947.0,27947.0,27702.0,27990.0,28400.0,27791.0,27677.0,27833.0,27767.0,27497.0,28072.0,28269.0,27784.0,28258.0,28057.0,27864.0,27878.0,27542.0
27882.0,27933.0,27891.0,28251.0,28051.0,27550.0,27797.0,27949.0,27957.0,27707.0,27996.0,27643.0,27774.0,27670.0,27835.0,27760.0,27507.0,28074.0,28247.0,27781.0,28142.0,28034.0,27813.0,27879.0,27531.0
27889.0,27937.0,27891.0,28261.0,28052.0,27519.0,27801.0,27947.0,27943.0,27706.0,27997.0,27640.0,27780.0,27663.0,27839.0,27755.0,27516.0,28073.0,28250.0,27780.0,28164.0,28036.0,27802.0,27877.0,27526.0
27897.0,27932.0,27909.0,28263.0,28057.0,27505.0,27795.0,27950.0,27952.0,27697.0,28004.0,27641.0,27772.0,27660.0,27829.0,27754.0,27500.0,28072.0,28251.0,27785.0,28150.0,28037.0,27813.0,27863.0,27529.0
