Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-6,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-14,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-19,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25
28029.0,27937.0,28024.0,28304.0,28232.0,28138.0,28200.0,28538.0,28343.0,27711.0,28058.0,27911.0,28132.0,27910.0,28000.0,27918.0,27600.0,28263.0,28317.0,28483.0,28638.0,28721.0,28409.0,27961.0,27588.0
28031.0,27959.0,28032.0,28305.0,28237.0,28137.0,28203.0,28538.0,28346.0,27715.0,28054.0,27914.0,28131.0,27910.0,27983.0,27927.0,27563.0,28256.0,28303.0,28496.0,28623.0,28730.0,28401.0,27948.0,27569.0
28035.0,27937.0,28027.0,28305.0,28228.0,28109.0,28208.0,28527.0,28321.0,27703.0,28035.0,27895.0,28131.0,27906.0,27976.0,27937.0,27577.0,28254.0,28308.0,28492.0,28639.0,28715.0,28399.0,27949.0,27574.0
28027.0,27936.0,28010.0,28301.0,28233.0,28123.0,28209.0,28540.0,28343.0,27687.0,28039.0,27910.0,28135.0,27920.0,27982.0,27908.0,27564.0,28261.0,28298.0,28481.0,28621.0,28726.0,28405.0,27950.0,27568.0
28043.0,27949.0,28013.0,28298.0,28226.0,28099.0,28202.0,28458.0,28333.0,27700.0,28043.0,27894.0,28127.0,27901.0,27992.0,27908.0,27561.0,28278.0,28307.0,28485.0,28628.0,28737.0,28412.0,27937.0,27547.0
27952.0,27901.0,27953.0,28207.0,28170.0,27754.0,28170.0,28164.0,28214.0,27684.0,28030.0,27839.0,28012.0,27825.0,27963.0,27882.0,27538.0,28245.0,28269.0,28374.0,28583.0,28586.0,28343.0,27928.0,27568.0
27819.0,27872.0,27879.0,28098.0,28045.0,27571.0,28115.0,28224.0,28137.0,27690.0,28025.0,27795.0,27942.0,27795.0,27933.0,27841.0,27489.0,28176.0,28166.0,28274.0,28179.0,28429.0,28170.0,27919.0,27557.0
27829.0,27869.0,27849.0,28093.0,27940.0,27339.0,27753.0,28025.0,28064.0,27711.0,27999.0,27637.0,27796.0,27732.0,27765.0,27708.0,27423.0,28027.0,28080.0,27785.0,28059.0,28191.0,28150.0,27881.0,27524.0
27863.0,27904.0,27869.0,28108.0,27974.0,27358.0,27729.0,27900.0,27967.0,27697.0,27991.0,27609.0,27761.0,27690.0,27794.0,27736.0,27450.0,28033.0,28057.0,27741.0,27831.0,28133.0,27847.0,27875.0,27512.0
27869.0,27903.0,27899.0,28109.0,27985.0,27333.0,27750.0,27823.0,27907.0,27684.0,27990.0,27594.0,27747.0,27652.0,27822.0,27758.0,27499.0,28057.0,28104.0,27736.0,27826.0,28040.0,27712.0,27871.0,27505.0
27836.0,27871.0,27864.0,28094.0,27953.0,27301.0,27719.0,27811.0,27899.0,27659.0,27967.0,27586.0,27728.0,27607.0,27825.0,27772.0,27491.0,28051.0,28094.0,27727.0,27799.0,27979.0,27645.0,27829.0,27479.0
27845.0,27875.0,27870.0,28097.0,27954.0,27323.0,27723.0,27810.0,27902.0,27653.0,27987.0,27594.0,27738.0,27594.0,27813.0,27764.0,27444.0,28057.0,28074.0,27738.0,27786.0,27978.0,27613.0,27832.0,27460.0
27843.0,27880.0,27870.0,28105.0,27958.0,27304.0,27722.0,27819.0,27901.0,27660.0,27970.0,27590.0,27739.0,27623.0,27818.0,27765.0,27484.0,28057.0,28089.0,27727.0,27796.0,27985.0,27634.0,27831.0,27462.0
27850.0,27884.0,27882.0,28100.0,27965.0,27330.0,27736.0,27822.0,27910.0,27666.0,27971.0,27594.0,27745.0,27613.0,27823.0,27774.0,27479.0,28060.0,28105.0,27725.0,27822.0,27996.0,27617.0,27857.0,27483.0
27841.0,27881.0,27875.0,28103.0,27967.0,27331.0,27734.0,27833.0,27913.0,27647.0,27971.0,27590.0,27737.0,27621.0,27814.0,27775.0,27458.0,28070.0,28079.0,27750.0,27810.0,27990.0,27655.0,27838.0,27461.0
27844.0,27880.0,27878.0,28106.0,27953.0,27328.0,27726.0,27813.0,27907.0,27659.0,27962.0,27581.0,27738.0,27606.0,27823.0,27774.0,27479.0,28056.0,28104.0,27726.0,27817.0,27993.0,27622.0,27848.0,27461.0
27835.0,27886.0,27878.0,28112.0,27975.0,27316.0,27726.0,27821.0,27900.0,27646.0,27966.0,27596.0,27750.0,27619.0,27817.0,27766.0,27455.0,28060.0,28089.0,27731.0,27806.0,27988.0,27614.0,27832.0,27456.0
27854.0,27900.0,27876.0,28104.0,27971.0,27303.0,27752.0,27817.0,27907.0,27667.0,27964.0,27584.0,27737.0,27613.0,27834.0,27768.0,27478.0,28068.0,28087.0,27728.0,27797.0,27995.0,27618.0,27835.0,27465.0
27844.0,27886.0,27883.0,28100.0,27975.0,27339.0,27755.0,27829.0,27905.0,27633.0,27978.0,27605.0,27741.0,27618.0,27820.0,27777.0,27476.0,28063.0,28078.0,27728.0,27822.0,27987.0,27613.0,27829.0,27457.0
27858.0,27890.0,27889.0,28106.0,27972.0,27329.0,27736.0,27824.0,27899.0,27664.0,27978.0,27593.0,27739.0,27598.0,27823.0,27774.0,27471.0,28061.0,28092.0,27749.0,27794.0,27975.0,27616.0,27828.0,27463.0
27868.0,27885.0,27879.0,28099.0,27975.0,27316.0,27745.0,27818.0,27910.0,27639.0,27972.0,27583.0,27738.0,27603.0,27848.0,27779.0,27481.0,28082.0,28092.0,27743.0,27801.0,27998.0,27625.0,27827.0,27462.0
27855.0,27896.0,27888.0,28106.0,27967.0,27332.0,27741.0,27822.0,27912.0,27656.0,27961.0,27582.0,27741.0,27612.0,27834.0,27787.0,27489.0,28080.0,28108.0,27738.0,27821.0,27993.0,27616.0,27845.0,27458.0
