Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-6,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-14,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-19,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25
27944.0,27941.0,27916.0,28280.0,28079.0,27500.0,27776.0,27929.0,27921.0,27706.0,27988.0,27644.0,27781.0,27678.0,27833.0,27765.0,27525.0,28086.0,28282.0,27803.0,28429.0,28070.0,27909.0,27879.0,27542.0
27946.0,27956.0,27920.0,28266.0,28084.0,27509.0,27800.0,27925.0,27936.0,27713.0,27991.0,27642.0,27772.0,27669.0,27840.0,27765.0,27521.0,28111.0,28282.0,27813.0,28414.0,28080.0,27906.0,27877.0,27547.0
27935.0,27947.0,27932.0,28261.0,28105.0,27530.0,27803.0,27934.0,27946.0,27680.0,28013.0,27661.0,27780.0,27674.0,27836.0,27769.0,27523.0,28094.0,28281.0,27806.0,28415.0,28069.0,27897.0,27876.0,27557.0
27949.0,27958.0,27931.0,28267.0,28085.0,27506.0,27790.0,27929.0,27930.0,27693.0,27996.0,27641.0,27785.0,27660.0,27848.0,27757.0,27497.0,28086.0,28273.0,27804.0,28399.0,28078.0,27884.0,27877.0,27535.0
27937.0,27949.0,27919.0,28271.0,28079.0,27509.0,27791.0,27925.0,27927.0,27704.0,28005.0,27661.0,27781.0,27677.0,27832.0,27759.0,27518.0,28089.0,28275.0,27801.0,28406.0,28058.0,27893.0,27880.0,27539.0
27945.0,27938.0,27919.0,28264.0,28063.0,27506.0,27777.0,27912.0,27935.0,27700.0,27985.0,27635.0,27779.0,27656.0,27830.0,27755.0,27511.0,28079.0,28287.0,27784.0,28400.0,28065.0,27877.0,27887.0,27547.0
27939.0,27943.0,27910.0,28254.0,28065.0,27497.0,27773.0,27911.0,27919.0,27682.0,27984.0,27637.0,27781.0,27668.0,27838.0,27757.0,27501.0,28077.0,28274.0,27786.0,28391.0,28056.0,27891.0,27865.0,27509.0
27935.0,27935.0,27917.0,28259.0,28073.0,27498.0,27778.0,27910.0,27919.0,27694.0,28005.0,27643.0,27773.0,27649.0,27822.0,27755.0,27490.0,28077.0,28278.0,27807.0,28365.0,28061.0,27890.0,27870.0,27538.0
27933.0,27943.0,27917.0,28259.0,28067.0,27513.0,27777.0,27915.0,27920.0,27678.0,27993.0,27638.0,27785.0,27656.0,27835.0,27765.0,27511.0,28091.0,28270.0,27783.0,28354.0,28046.0,27882.0,27861.0,27525.0
27943.0,27939.0,27923.0,28266.0,28088.0,27493.0,27785.0,27916.0,27924.0,27700.0,27988.0,27631.0,27777.0,27667.0,27827.0,27767.0,27485.0,28087.0,28272.0,27806.0,28370.0,28055.0,27895.0,27868.0,27520.0
27980.0,27960.0,27951.0,28282.0,28198.0,27984.0,27883.0,28260.0,27937.0,27698.0,27985.0,27632.0,27783.0,27665.0,27822.0,27771.0,27518.0,28066.0,28274.0,27812.0,28393.0,28060.0,27884.0,27889.0,27531.0
27986.0,27972.0,27961.0,28290.0,28213.0,28026.0,28070.0,28301.0,28042.0,27708.0,28003.0,27667.0,27814.0,27704.0,27881.0,27797.0,27562.0,28242.0,28306.0,28259.0,28554.0,28480.0,28338.0,27881.0,27541.0
27986.0,27969.0,27955.0,28298.0,28217.0,28008.0,28088.0,28322.0,28058.0,27715.0,27997.0,27670.0,27798.0,27695.0,27865.0,27796.0,27579.0,28232.0,28322.0,28261.0,28562.0,28509.0,28351.0,27881.0,27555.0
27985.0,27960.0,27955.0,28280.0,28223.0,28012.0,28099.0,28366.0,28075.0,27690.0,27996.0,27670.0,27807.0,27691.0,27888.0,27797.0,27569.0,28230.0,28298.0,28275.0,28566.0,28513.0,28348.0,27887.0,27562.0
27987.0,27982.0,27959.0,28294.0,28222.0,28042.0,28129.0,28441.0,28099.0,27676.0,28006.0,27687.0,27803.0,27716.0,27899.0,27817.0,27588.0,28238.0,28317.0,28301.0,28578.0,28584.0,28350.0,27882.0,27546.0
27987.0,27972.0,27965.0,28298.0,28226.0,28054.0,28158.0,28494.0,28141.0,27701.0,28011.0,27699.0,27827.0,27711.0,27932.0,27824.0,27566.0,28238.0,28307.0,28353.0,28581.0,28706.0,28350.0,27882.0,27543.0
28013.0,27993.0,27961.0,28302.0,28230.0,28054.0,28189.0,28487.0,28159.0,27726.0,27991.0,27689.0,27810.0,27712.0,27953.0,27829.0,27599.0,28260.0,28317.0,28375.0,28585.0,28739.0,28363.0,27885.0,27552.0
28010.0,27982.0,27983.0,28311.0,28240.0,28062.0,28175.0,28496.0,28166.0,27707.0,27994.0,27692.0,27804.0,27709.0,27948.0,27856.0,27580.0,28253.0,28301.0,28385.0,28583.0,28725.0,28392.0,27881.0,27552.0
28013.0,27987.0,27972.0,28302.0,28232.0,28059.0,28182.0,28504.0,28165.0,27703.0,28000.0,27706.0,27826.0,27730.0,27963.0,27849.0,27599.0,28255.0,28323.0,28384.0,28596.0,28731.0,28375.0,27892.0,27546.0
28004.0,27977.0,27968.0,28300.0,28226.0,28062.0,28184.0,28514.0,28179.0,27702.0,28008.0,27703.0,27838.0,27720.0,27963.0,27832.0,27581.0,28251.0,28315.0,28390.0,28587.0,28741.0,28365.0,27890.0,27565.0
28013.0,27989.0,27976.0,28307.0,28241.0,28032.0,28183.0,28516.0,28181.0,27701.0,28014.0,27694.0,27809.0,27729.0,27959.0,27838.0,27599.0,28256.0,28320.0,28397.0,28594.0,28742.0,28359.0,27889.0,27562.0
27999.0,27973.0,27962.0,28295.0,28223.0,28056.0,28179.0,28511.0,28179.0,27695.0,28016.0,27710.0,27832.0,27722.0,27962.0,27836.0,27578.0,28242.0,28320.0,28390.0,28590.0,28747.0,28363.0,27888.0,27547.0
28009.0,27984.0,27971.0,28302.0,28230.0,28066.0,28181.0,28496.0,28184.0,27707.0,27998.0,27694.0,27810.0,27725.0,27949.0,27844.0,27585.0,28253.0,28300.0,28413.0,28590.0,28739.0,28365.0,27899.0,27561.0
