Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-6,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-14,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-19,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25
27872.0,27916.0,27893.0,28204.0,28036.0,27508.0,27798.0,27960.0,27961.0,27695.0,28008.0,27663.0,27781.0,27675.0,27831.0,27764.0,27506.0,28060.0,28184.0,27764.0,28003.0,28034.0,27762.0,27862.0,27517.0
27871.0,27916.0,27901.0,28210.0,28029.0,27484.0,27782.0,27959.0,27947.0,27706.0,27999.0,27649.0,27775.0,27673.0,27834.0,27759.0,27513.0,28069.0,28182.0,27773.0,27986.0,28033.0,27770.0,27862.0,27533.0
27881.0,27911.0,27888.0,28205.0,28027.0,27478.0,27779.0,27960.0,27950.0,27691.0,27991.0,27636.0,27789.0,27668.0,27833.0,27760.0,27500.0,28052.0,28174.0,27770.0,27983.0,28024.0,27787.0,27876.0,27537.0
27864.0,27907.0,27899.0,28211.0,28027.0,27479.0,27782.0,27958.0,27937.0,27696.0,27996.0,27644.0,27774.0,27664.0,27828.0,27763.0,27510.0,28071.0,28182.0,27777.0,27984.0,28025.0,27761.0,27863.0,27542.0
27874.0,27916.0,27893.0,28221.0,28019.0,27488.0,27786.0,27950.0,27957.0,27710.0,27998.0,27643.0,27778.0,27662.0,27836.0,27754.0,27512.0,28053.0,28192.0,27766.0,28008.0,28031.0,27773.0,27856.0,27519.0
27869.0,27903.0,27896.0,28204.0,28032.0,27509.0,27791.0,27966.0,27956.0,27693.0,28006.0,27654.0,27774.0,27662.0,27831.0,27757.0,27504.0,28054.0,28177.0,27760.0,28003.0,28034.0,27766.0,27858.0,27534.0
27885.0,27913.0,27902.0,28209.0,28015.0,27495.0,27785.0,27952.0,27951.0,27715.0,27994.0,27641.0,27780.0,27655.0,27825.0,27756.0,27503.0,28046.0,28192.0,27760.0,27990.0,28029.0,27757.0,27879.0,27533.0
27882.0,27913.0,27898.0,28210.0,28025.0,27499.0,27784.0,27954.0,27960.0,27709.0,28009.0,27643.0,27801.0,27681.0,27859.0,27770.0,27508.0,28075.0,28183.0,27780.0,27982.0,28028.0,27778.0,27862.0,27528.0
27879.0,27907.0,27897.0,28216.0,28024.0,27473.0,27781.0,27962.0,27939.0,27704.0,27988.0,27639.0,27785.0,27662.0,27823.0,27770.0,27505.0,28047.0,28186.0,27777.0,27998.0,28027.0,27758.0,27882.0,27527.0
27868.0,27915.0,27894.0,28210.0,28016.0,27478.0,27771.0,27951.0,27939.0,27705.0,27993.0,27642.0,27790.0,27680.0,27839.0,27756.0,27482.0,28057.0,28182.0,27763.0,27981.0,28032.0,27766.0,27867.0,27527.0
27795.0,27831.0,27847.0,28047.0,27950.0,27292.0,27729.0,27823.0,27922.0,27650.0,27995.0,27648.0,27801.0,27660.0,27846.0,27760.0,27484.0,28051.0,28188.0,27751.0,28005.0,28044.0,27773.0,27871.0,27517.0
27904.0,27845.0,27847.0,28047.0,27929.0,27274.0,27717.0,27829.0,27903.0,27630.0,27982.0,27582.0,27742.0,27629.0,27767.0,27710.0,27411.0,27999.0,28027.0,27691.0,27773.0,27970.0,27622.0,27856.0,27462.0
27908.0,27860.0,27860.0,28045.0,27932.0,27274.0,27702.0,27814.0,27898.0,27657.0,27975.0,27716.0,27740.0,27639.0,27771.0,27717.0,27425.0,27992.0,28035.0,27691.0,27767.0,27976.0,27620.0,27839.0,27460.0
27900.0,27870.0,27855.0,28042.0,27936.0,27273.0,27723.0,27807.0,27903.0,27663.0,27975.0,27711.0,27738.0,27634.0,27773.0,27707.0,27415.0,27996.0,28022.0,27685.0,27765.0,27978.0,27598.0,27839.0,27468.0
27900.0,27852.0,27860.0,28040.0,27936.0,27269.0,27713.0,27819.0,27899.0,27660.0,27973.0,27728.0,27739.0,27627.0,27761.0,27712.0,27409.0,27982.0,28016.0,27691.0,27768.0,27972.0,27596.0,27833.0,27470.0
27893.0,27867.0,27865.0,28064.0,27937.0,27299.0,27717.0,27817.0,27902.0,27630.0,27971.0,27712.0,27737.0,27617.0,27762.0,27706.0,27398.0,27982.0,28023.0,27687.0,27769.0,27969.0,27581.0,27840.0,27479.0
27899.0,27851.0,27871.0,28047.0,27933.0,27272.0,27706.0,27812.0,27897.0,27657.0,27975.0,27722.0,27746.0,27646.0,27769.0,27711.0,27422.0,27984.0,28034.0,27693.0,27773.0,27978.0,27616.0,27834.0,27455.0
27909.0,27864.0,27871.0,28046.0,27948.0,27301.0,27717.0,27827.0,27903.0,27649.0,27970.0,27724.0,27740.0,27640.0,27773.0,27727.0,27395.0,28002.0,28023.0,27714.0,27770.0,27977.0,27632.0,27847.0,27469.0
27906.0,27871.0,27872.0,28048.0,27939.0,27299.0,27713.0,27819.0,27899.0,27628.0,27985.0,27718.0,27754.0,27607.0,27769.0,27705.0,27432.0,27982.0,28018.0,27687.0,27768.0,27982.0,27584.0,27839.0,27456.0
27911.0,27860.0,27860.0,28047.0,27940.0,27309.0,27710.0,27821.0,27894.0,27650.0,27975.0,27722.0,27744.0,27638.0,27771.0,27712.0,27382.0,28002.0,28032.0,27696.0,27772.0,27974.0,27584.0,27836.0,27468.0
27905.0,27859.0,27873.0,28048.0,27948.0,27266.0,27713.0,27828.0,27893.0,27644.0,27972.0,27721.0,27753.0,27630.0,27762.0,27722.0,27419.0,27980.0,28025.0,27706.0,27776.0,27974.0,27606.0,27850.0,27472.0
