Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-6,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-14,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-19,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25
28011.0,27969.0,27988.0,27845.0,28181.0,27506.0,28036.0,28015.0,28045.0,27739.0,28041.0,27880.0,28166.0,27791.0,27928.0,27850.0,27962.0,28223.0,28234.0,28193.0,28099.0,28183.0,27852.0,27908.0,27565.0
28006.0,27975.0,27986.0,27835.0,28183.0,27537.0,28035.0,28017.0,28046.0,27723.0,28041.0,27886.0,28162.0,27790.0,27941.0,27862.0,27953.0,28238.0,28236.0,28189.0,28112.0,28176.0,27851.0,27907.0,27544.0
28006.0,27980.0,27993.0,27844.0,28184.0,27539.0,28043.0,28028.0,28062.0,27730.0,28043.0,27880.0,28174.0,27804.0,27930.0,27868.0,27942.0,28249.0,28233.0,28225.0,28103.0,28186.0,27870.0,27921.0,27558.0
28010.0,27971.0,27995.0,27839.0,28183.0,27530.0,28042.0,28019.0,28051.0,27736.0,28056.0,27892.0,28181.0,27782.0,27942.0,27843.0,27932.0,28228.0,28227.0,28203.0,28101.0,28192.0,27834.0,27913.0,27558.0
28010.0,27975.0,27983.0,27839.0,28180.0,27542.0,28039.0,28021.0,28050.0,27738.0,28056.0,27881.0,28170.0,27787.0,27946.0,27852.0,27931.0,28246.0,28239.0,28203.0,28120.0,28180.0,27837.0,27913.0,27555.0
28010.0,27989.0,27991.0,27843.0,28188.0,27550.0,28049.0,28023.0,28060.0,27742.0,28049.0,27891.0,28171.0,27782.0,27949.0,27861.0,27975.0,28238.0,28220.0,28203.0,28102.0,28177.0,27845.0,27921.0,27555.0
28017.0,27973.0,27993.0,27845.0,28202.0,27555.0,28043.0,28026.0,28054.0,27741.0,28034.0,27889.0,28163.0,27795.0,27944.0,27854.0,27964.0,28240.0,28246.0,28219.0,28101.0,28195.0,27830.0,27922.0,27564.0
28019.0,27979.0,28006.0,27849.0,28186.0,27511.0,28041.0,28036.0,28043.0,27728.0,28045.0,27882.0,28177.0,27786.0,27930.0,27867.0,27966.0,28225.0,28235.0,28210.0,28117.0,28184.0,27846.0,27931.0,27558.0
28011.0,27975.0,27992.0,27858.0,28186.0,27523.0,28034.0,28016.0,28062.0,27743.0,28046.0,27887.0,28163.0,27817.0,27946.0,27857.0,27951.0,28238.0,28236.0,28207.0,28098.0,28190.0,27821.0,27923.0,27549.0
28021.0,27992.0,27999.0,27841.0,28190.0,27514.0,28052.0,28016.0,28051.0,27754.0,28042.0,27878.0,28163.0,27782.0,27944.0,27853.0,27964.0,28252.0,28230.0,28205.0,28102.0,28190.0,27848.0,27914.0,27561.0
28008.0,27966.0,27976.0,27833.0,28190.0,27519.0,28043.0,28022.0,28046.0,27727.0,28046.0,27888.0,28164.0,27774.0,27937.0,27852.0,27967.0,28232.0,28224.0,28191.0,28083.0,28176.0,27815.0,27917.0,27548.0
28100.0,27990.0,28001.0,27841.0,28179.0,27554.0,28043.0,28033.0,28049.0,27724.0,28037.0,27876.0,28160.0,27782.0,27925.0,27865.0,27963.0,28237.0,28217.0,28173.0,28079.0,28173.0,27803.0,27913.0,27559.0
31404.0,27960.0,27994.0,27863.0,28188.0,27551.0,28060.0,28032.0,28038.0,27721.0,28036.0,27853.0,28150.0,27793.0,27936.0,27848.0,27967.0,28204.0,28212.0,28118.0,28051.0,28169.0,27826.0,27910.0,27568.0
31418.0,27966.0,28016.0,27862.0,28197.0,27573.0,28106.0,28049.0,28058.0,27736.0,28043.0,27886.0,28177.0,27806.0,27938.0,27874.0,27930.0,28238.0,28199.0,28147.0,28025.0,28174.0,27833.0,27920.0,27557.0
31404.0,27963.0,28009.0,27868.0,28200.0,27558.0,28112.0,28052.0,28053.0,27744.0,28058.0,27898.0,28156.0,27779.0,27944.0,27860.0,27955.0,28196.0,28193.0,28062.0,27994.0,28157.0,27789.0,27908.0,27564.0
31488.0,27955.0,27997.0,27869.0,28206.0,27568.0,28108.0,28038.0,28046.0,27749.0,28046.0,27878.0,28152.0,27779.0,27940.0,27871.0,27929.0,28209.0,28198.0,28071.0,27985.0,28163.0,27778.0,27915.0,27564.0
31488.0,27938.0,27997.0,27865.0,28191.0,27565.0,28103.0,28043.0,28050.0,27742.0,28045.0,27875.0,28138.0,27776.0,27929.0,27836.0,27952.0,28191.0,28197.0,28049.0,27977.0,28150.0,27791.0,27905.0,27541.0
31489.0,27940.0,27985.0,27872.0,28198.0,27575.0,28132.0,28038.0,28058.0,27718.0,28039.0,27888.0,28151.0,27781.0,27924.0,27852.0,27940.0,28187.0,28197.0,28038.0,27967.0,28155.0,27785.0,27904.0,27557.0
31514.0,27939.0,28000.0,27864.0,28193.0,27585.0,28122.0,28049.0,28059.0,27747.0,28034.0,27877.0,28154.0,27764.0,27925.0,27850.0,27930.0,28195.0,28179.0,28040.0,27976.0,28148.0,27778.0,27927.0,27537.0
31547.0,27941.0,27995.0,27863.0,28217.0,27560.0,28116.0,28050.0,28060.0,27733.0,28064.0,27904.0,28166.0,27768.0,27949.0,27864.0,27925.0,28199.0,28181.0,28048.0,27987.0,28162.0,27774.0,27910.0,27560.0
28118.0,27944.0,27987.0,27823.0,28166.0,27566.0,28075.0,28101.0,28052.0,27741.0,28051.0,27865.0,28168.0,27771.0,27928.0,27852.0,27915.0,28197.0,28170.0,28097.0,27950.0,28166.0,27772.0,27907.0,27564.0
28022.0,30049.0,28004.0,27862.0,28167.0,27466.0,27902.0,28019.0,28025.0,27720.0,28037.0,27804.0,28021.0,27769.0,27914.0,27831.0,27929.0,28131.0,28144.0,28017.0,27951.0,28189.0,27790.0,27920.0,27548.0
28031.0,30148.0,28006.0,27855.0,28163.0,27488.0,27902.0,28024.0,28029.0,27731.0,28050.0,27828.0,28025.0,27765.0,27884.0,27794.0,27911.0,28148.0,28177.0,28005.0,27992.0,28146.0,27789.0,27917.0,27553.0
28048.0,30357.0,28014.0,27863.0,28160.0,27495.0,27903.0,28015.0,28041.0,27745.0,28036.0,27820.0,28012.0,27754.0,27866.0,27802.0,27922.0,28160.0,28190.0,28004.0,28009.0,28155.0,27785.0,27923.0,27539.0
28040.0,30889.0,28014.0,27842.0,28170.0,27481.0,27899.0,28015.0,28029.0,27760.0,28044.0,27828.0,28008.0,27770.0,27890.0,27812.0,27936.0,28179.0,28197.0,28051.0,28001.0,28160.0,27794.0,27924.0,27547.0
28022.0,31157.0,28003.0,27839.0,28162.0,27494.0,27902.0,28013.0,28028.0,27730.0,28052.0,27829.0,28019.0,27762.0,27889.0,27802.0,27915.0,28159.0,28186.0,28026.0,28020.0,28149.0,27800.0,27911.0,27561.0
28038.0,31150.0,28021.0,27846.0,28164.0,27488.0,27896.0,28010.0,28034.0,27743.0,28052.0,27822.0,28009.0,27752.0,27874.0,27815.0,27909.0,28169.0,28191.0,28028.0,27998.0,28156.0,27807.0,27913.0,27550.0
28040.0,31204.0,28014.0,27825.0,28157.0,27455.0,27905.0,27986.0,28041.0,27731.0,28043.0,27808.0,28019.0,27757.0,27902.0,27823.0,27930.0,28189.0,28188.0,28037.0,28003.0,28171.0,27813.0,27907.0,27565.0
28025.0,31273.0,28003.0,27833.0,28146.0,27461.0,27873.0,28003.0,28021.0,27729.0,28044.0,27796.0,27977.0,27758.0,27884.0,27813.0,27907.0,28169.0,28194.0,27976.0,28002.0,28140.0,27779.0,27908.0,27537.0
28041.0,28000.0,28013.0,27828.0,28159.0,27499.0,27908.0,28017.0,28032.0,27745.0,28030.0,27835.0,28000.0,27752.0,27887.0,27820.0,27935.0,28177.0,28193.0,27998.0,27988.0,28146.0,27763.0,27918.0,27548.0
28079.0,27982.0,31276.0,27812.0,28138.0,27515.0,27945.0,28036.0,28050.0,27740.0,28063.0,27881.0,28055.0,27776.0,27944.0,27866.0,27977.0,28251.0,28248.0,28061.0,28032.0,28141.0,27789.0,27915.0,27561.0
28087.0,27946.0,31520.0,27757.0,28068.0,27402.0,27846.0,27976.0,27988.0,27727.0,28036.0,27765.0,27891.0,27697.0,27859.0,27842.0,27914.0,28106.0,28124.0,27832.0,27889.0,28065.0,27706.0,27923.0,27553.0
28133.0,27972.0,31608.0,27755.0,28063.0,27430.0,27823.0,27978.0,28006.0,27746.0,28061.0,27782.0,27903.0,27738.0,27916.0,27875.0,27921.0,28151.0,28138.0,27854.0,27876.0,28080.0,27703.0,27903.0,27532.0
28159.0,27984.0,31617.0,27754.0,28065.0,27387.0,27823.0,27959.0,27981.0,27737.0,28044.0,27782.0,27889.0,27707.0,27902.0,27876.0,27944.0,28145.0,28156.0,27861.0,27918.0,28073.0,27709.0,27924.0,27545.0
28184.0,27967.0,31630.0,27767.0,28061.0,27430.0,27810.0,27973.0,27998.0,27751.0,28041.0,27774.0,27874.0,27691.0,27909.0,27860.0,27932.0,28146.0,28174.0,27828.0,27914.0,28072.0,27704.0,27908.0,27557.0
28224.0,27973.0,31625.0,27758.0,28067.0,27409.0,27821.0,27976.0,28002.0,27732.0,28039.0,27791.0,27875.0,27720.0,27883.0,27839.0,27930.0,28162.0,28159.0,27835.0,27908.0,28069.0,27710.0,27918.0,27531.0
