Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-6,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-14,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-19,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25
28871.0,28104.0,28267.0,28463.0,28968.0,28836.0,28626.0,28997.0,28514.0,28162.0,29742.0,28500.0,30566.0,28296.0,30478.0,28106.0,27665.0,28512.0,28373.0,29617.0,28732.0,30267.0,28564.0,28432.0,27573.0
28305.0,28158.0,28272.0,28547.0,29668.0,28739.0,28538.0,29404.0,28535.0,29190.0,28238.0,28975.0,29975.0,28344.0,31205.0,30574.0,28527.0,28710.0,30279.0,30870.0,31404.0,30382.0,28931.0,29348.0,27595.0
28258.0,28139.0,28209.0,28519.0,28613.0,28583.0,28525.0,29246.0,28554.0,29565.0,28274.0,28954.0,30326.0,28395.0,30939.0,29033.0,28401.0,28722.0,30929.0,31216.0,31479.0,30590.0,28742.0,29976.0,27593.0
28424.0,28279.0,28385.0,28646.0,31099.0,28651.0,29070.0,29504.0,28593.0,30021.0,28410.0,30521.0,31232.0,28485.0,30448.0,28394.0,28224.0,28705.0,31002.0,31234.0,31468.0,30418.0,28718.0,29400.0,27589.0
28408.0,28231.0,28325.0,28624.0,31082.0,28590.0,28872.0,29248.0,28591.0,29767.0,28393.0,30677.0,31292.0,28489.0,30607.0,28429.0,28331.0,28741.0,31241.0,31263.0,31542.0,30361.0,28746.0,29472.0,27568.0
28338.0,28207.0,28277.0,28616.0,30641.0,28583.0,28737.0,29302.0,28580.0,29809.0,28360.0,29685.0,31325.0,28498.0,30631.0,28407.0,28237.0,28756.0,31167.0,31428.0,31575.0,30539.0,28793.0,29708.0,27574.0
28362.0,28222.0,28288.0,28619.0,30784.0,28560.0,28738.0,29322.0,28581.0,29799.0,28352.0,29781.0,31412.0,28510.0,30585.0,28407.0,28246.0,28763.0,31239.0,31480.0,31603.0,30644.0,28796.0,29787.0,27582.0
28323.0,28183.0,28271.0,28594.0,30789.0,28547.0,28754.0,29269.0,28561.0,29730.0,28336.0,30069.0,31454.0,28478.0,30608.0,28444.0,28270.0,28793.0,31273.0,31538.0,31641.0,30696.0,28774.0,29826.0,27572.0
28328.0,28184.0,28261.0,28602.0,30809.0,28577.0,28758.0,29244.0,28570.0,29716.0,28307.0,30028.0,31381.0,28444.0,30618.0,28441.0,28299.0,28827.0,31347.0,31515.0,31651.0,30633.0,28794.0,29818.0,27580.0
28324.0,28185.0,28264.0,28600.0,30858.0,28571.0,28775.0,29252.0,28567.0,29720.0,28328.0,30044.0,31388.0,28455.0,30652.0,28451.0,28300.0,28832.0,31378.0,31530.0,31652.0,30608.0,28828.0,29813.0,27576.0
