Sensor-1,Sensor-2,Sensor-3,Sensor-4,Sensor-5,Sensor-6,Sensor-7,Sensor-8,Sensor-9,Sensor-10,Sensor-11,Sensor-12,Sensor-13,Sensor-14,Sensor-15,Sensor-16,Sensor-17,Sensor-18,Sensor-19,Sensor-20,Sensor-21,Sensor-22,Sensor-23,Sensor-24,Sensor-25
27917.0,27967.0,27920.0,28293.0,28180.0,28004.0,28045.0,28250.0,28016.0,27716.0,28012.0,27665.0,27816.0,27666.0,27828.0,27753.0,27532.0,28081.0,28293.0,27812.0,28593.0,28108.0,28201.0,27888.0,27533.0
27920.0,27943.0,27913.0,28278.0,28192.0,27981.0,28021.0,28242.0,28014.0,27715.0,28005.0,27686.0,27801.0,27679.0,27815.0,27749.0,27515.0,28082.0,28292.0,27814.0,28605.0,28110.0,28204.0,27895.0,27543.0
27907.0,27938.0,27917.0,28273.0,28171.0,27982.0,27974.0,28171.0,27996.0,27710.0,27994.0,27659.0,27797.0,27654.0,27807.0,27744.0,27499.0,28076.0,28295.0,27794.0,28588.0,28110.0,28177.0,27893.0,27530.0
27808.0,27846.0,27848.0,28077.0,27979.0,27375.0,27780.0,27917.0,27938.0,27692.0,28011.0,27629.0,27778.0,27646.0,27803.0,27750.0,27486.0,28058.0,28283.0,27790.0,28564.0,28073.0,28142.0,27886.0,27531.0
27794.0,27859.0,27832.0,28084.0,27943.0,27374.0,27759.0,27893.0,27944.0,27696.0,28003.0,27617.0,27783.0,27653.0,27773.0,27717.0,27449.0,28021.0,28070.0,27744.0,27881.0,28037.0,27832.0,27848.0,27514.0
27791.0,27843.0,27829.0,28066.0,27956.0,27338.0,27740.0,27878.0,27934.0,27683.0,27988.0,27627.0,27788.0,27665.0,27776.0,27732.0,27414.0,28023.0,28078.0,27759.0,27879.0,28071.0,27807.0,27871.0,27529.0
27802.0,27833.0,27827.0,28063.0,27924.0,27332.0,27728.0,27875.0,27923.0,27690.0,27977.0,27588.0,27743.0,27642.0,27767.0,27712.0,27429.0,28018.0,28043.0,27738.0,27854.0,28062.0,27835.0,27864.0,27547.0
27954.0,27916.0,27989.0,28210.0,28187.0,27873.0,27862.0,28449.0,27927.0,27698.0,27974.0,27583.0,27738.0,27645.0,27770.0,27726.0,27402.0,28022.0,28033.0,27730.0,27786.0,28000.0,27685.0,27857.0,27500.0
27948.0,27933.0,27990.0,28247.0,28228.0,28002.0,28213.0,28478.0,28218.0,27694.0,27996.0,27781.0,27915.0,27807.0,27920.0,27875.0,27554.0,28247.0,28282.0,28253.0,28625.0,28607.0,28327.0,27888.0,27527.0
27952.0,27925.0,27995.0,28259.0,28210.0,28014.0,28209.0,28463.0,28193.0,27714.0,27993.0,27785.0,27913.0,27806.0,27950.0,27886.0,27576.0,28249.0,28299.0,28261.0,28639.0,28652.0,28351.0,27873.0,27523.0
27953.0,27927.0,27990.0,28243.0,28215.0,28040.0,28226.0,28461.0,28218.0,27718.0,27996.0,27795.0,27927.0,27819.0,27946.0,27879.0,27587.0,28250.0,28320.0,28273.0,28646.0,28659.0,28343.0,27879.0,27528.0
