Folder,Filename,GroundTruth_Label,Max_Pred_Severity,GT_Binary,Pred_Binary,Result,Mean_RMSE,Max_RMSE
N_base,N_Base_01.csv,0,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,0.2597101162176617,0.3988008763305976
N_base,N_Base_02.csv,0,0,Normal/Touch,Normal/Touch,MATCH ✅,0.15312234995188617,0.18150020386740245
N_base,N_Base_03.csv,0,0,Normal/Touch,Normal/Touch,MATCH ✅,0.14442940294494977,0.16993510598071163
N_base,N_Base_04.csv,0,0,Normal/Touch,Normal/Touch,MATCH ✅,0.15926158251561334,0.1939764256794588
N_base,N_Base_05.csv,0,0,Normal/Touch,Normal/Touch,MATCH ✅,0.16028962798101307,0.2083843821026711
Brief Touch,N_Touch_01.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,4.4760524922736105,9.929089170408888
Brief Touch,N_Touch_02.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,8.029399610297599,12.610145649295958
Brief Touch,N_Touch_03.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,6.61008655376071,9.133185849799137
Brief Touch,N_Touch_04.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,5.227477034646551,7.892486490437456
Brief Touch,N_Touch_05.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,6.166820304415431,10.800369717047811
Brief Touch,N_Touch_06.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,5.993470362253705,9.381860725562666
Brief Touch,N_Touch_07.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,3.9818662603569503,8.099549908608996
Brief Touch,N_Touch_08.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,2.869480016539007,8.15665781805354
Brief Touch,N_Touch_09.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,3.4781113977735796,9.327318838189345
Brief Touch,N_Touch_10.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,5.067108453879567,12.512776562469389
Press,N_Press_01.csv,1,3,Normal/Touch,Alarm/Pull,MISMATCH ❌,11.997940475785898,24.017247235253745
Press,N_Press_02.csv,1,3,Normal/Touch,Alarm/Pull,MISMATCH ❌,11.963168319696273,13.437770659973182
Press,N_Press_03.csv,1,3,Normal/Touch,Alarm/Pull,MISMATCH ❌,12.977141803464576,23.520733679090075
Press,N_Press_04.csv,1,3,Normal/Touch,Alarm/Pull,MISMATCH ❌,4.237734288921499,6.917670686527131
Press,N_Press_05.csv,1,3,Normal/Touch,Alarm/Pull,MISMATCH ❌,3.1809544262183085,4.459861806335361
Press,N_Press_06.csv,1,3,Normal/Touch,Alarm/Pull,MISMATCH ❌,10.792566966219487,14.38843848595947
Press,N_Press_07.csv,1,3,Normal/Touch,Alarm/Pull,MISMATCH ❌,7.6784451742523485,12.70603544171771
Press,N_Press_08.csv,1,3,Normal/Touch,Alarm/Pull,MISMATCH ❌,2.7496113248063865,3.6596651675452336
Press,N_Press_09.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,3.4163783611983383,4.53521922992365
Press,N_Press_10.csv,1,3,Normal/Touch,Alarm/Pull,MISMATCH ❌,9.447787921857001,14.102779472122142
Friction,N_Fric_01.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,0.653087464460802,0.8849841446198565
Friction,N_Fric_02.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,0.8131349592935433,1.421977224117431
Friction,N_Fric_03.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,0.7383153268091113,0.9229121781108175
Friction,N_Fric_04.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,0.5656839953775733,0.7545063329593759
Friction,N_Fric_05.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,0.6728246029619215,0.8528992378786133
Friction,N_Fric_06.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,0.7127215435347443,1.0022801817108113
Friction,N_Fric_07.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,0.8027525893041627,1.148334853744384
Friction,N_Fric_08.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,0.7174132397927451,1.0802227081168323
Friction,N_Fric_09.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,0.6787289929029907,1.1275545759175976
Friction,N_Fric_10.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,0.6981930854721674,0.9310274241084736
Normal Mix,N_Mix_01.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,3.7203864000701814,9.37513320036172
Normal Mix,N_Mix_02.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,3.0019880886913106,5.762709718283778
Normal Mix,N_Mix_03.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,2.05549307692747,5.261208967391967
Normal Mix,N_Mix_04.csv,1,3,Normal/Touch,Alarm/Pull,MISMATCH ❌,8.028097742682153,17.108710840796068
Normal Mix,N_Mix_05.csv,1,2,Normal/Touch,Alarm/Pull,MISMATCH ❌,2.127777302983647,6.561483549634974
Peel,A_Peel_01.csv,2,3,Alarm/Pull,Alarm/Pull,MATCH ✅,2.8388753864090996,4.203089142605274
Peel,A_Peel_02.csv,2,3,Alarm/Pull,Alarm/Pull,MATCH ✅,3.1361777771579926,4.962372249902809
Peel,A_Peel_03.csv,2,3,Alarm/Pull,Alarm/Pull,MATCH ✅,2.9158733536090393,3.8771552153987168
Peel,A_Peel_04.csv,2,3,Alarm/Pull,Alarm/Pull,MATCH ✅,3.054616733553698,4.281660390807287
Peel,A_Peel_05.csv,2,3,Alarm/Pull,Alarm/Pull,MATCH ✅,3.566500084646452,5.191679416178216
Peel,A_Peel_06.csv,2,3,Alarm/Pull,Alarm/Pull,MATCH ✅,3.2269227597392787,4.773213826239108
Peel,A_Peel_07.csv,2,3,Alarm/Pull,Alarm/Pull,MATCH ✅,2.6474060657334,3.4469842397519628
Peel,A_Peel_08.csv,2,3,Alarm/Pull,Alarm/Pull,MATCH ✅,2.774351019679692,4.424974052035137
Peel,A_Peel_09.csv,2,3,Alarm/Pull,Alarm/Pull,MATCH ✅,2.749857394632208,4.668059893668911
Peel,A_Peel_10.csv,2,3,Alarm/Pull,Alarm/Pull,MATCH ✅,3.1404122079944616,4.652271959249529
Vertical Pull NO G,A_VPull_0.csv,3,0,Alarm/Pull,Normal/Touch,MISMATCH ❌,0.07053691677269175,0.07053691677269175
